Codigo,Gasto,Categoria
CI.1.1,JEFE DE GRUPO,INDEFINIDO
CI.1.2,JEFE DE OBRA,INDEFINIDO
CI.1.3,ENCARGADO,INDEFINIDO
CI.1.4,AYTE JEFE DE OBRA,INDEFINIDO
CI.1.7,JEFE PRODUCCIÓN,INDEFINIDO
CI.1.5,ADMINISTRATIVO,INDEFINIDO
CI.1.6,TOPOGRAFIA,INDEFINIDO
CI.1.8,CAPATAZ,INDEFINIDO
CI.1.9,OFICIAL,INDEFINIDO
CI.1.10,GRUISTA,INDEFINIDO
CI.1.12,MAQUINISTA,INDEFINIDO
CI.1.13,VIGILANTE SEGURIDAD,INDEFINIDO
CI.1.16,TECNICO PREVENCION,INDEFINIDO
CI.1.17,INGENIERO INSTALACIONES,INDEFINIDO
CI.03P.9,VEHICULOS,INDEFINIDO
CI.03A.3,ANDAMIOS/PLATAFORMAS,INDEFINIDO
CI.03A.6,GRUPO ELECTRÓGENO,INDEFINIDO
CI.03A.7,CONTENEDORES,INDEFINIDO
CI.03A.8,CAMION GRUA,INDEFINIDO
CI.03A.2,ALQUILER MAQUINARIA,INDEFINIDO
CI.03A.5,ALQUILER MAQUINARIA,INDEFINIDO
CI.03A.10,ALQUILER MAQUINARIA,INDEFINIDO
CI.03A.4,MAQUINA MIXTA,INDEFINIDO
CI.03A.1,ALQUILER GRUA TORRE,INDEFINIDO
CI.4.1,COMBUSTIBLES,INDEFINIDO
CI.4.2,AGUA,INDEFINIDO
CI.4.3,ELECTRICIDAD,INDEFINIDO
CI.4.15,CAJA DE OBRA,INDEFINIDO
CI.4.6,REPROGRAFÍA/PAPELERIA,INDEFINIDO
CI.4.8,REPROGRAFÍA/PAPELERIA,INDEFINIDO
CI.4.5,RESTO CONSUMOS,INDEFINIDO
CI.4.13,RESTO CONSUMOS,INDEFINIDO
CI.4.14,RESTO CONSUMOS,INDEFINIDO
CI.4.18,FERRETERIA,INDEFINIDO
CI.7.3,TASAS,LIMPIEZA CASETAS
